,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
dma58910,daisy.anderson@univ.edu,2,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100,10,0.92,0.66,0.94,0.7243243243243244,0.7180119047619048,0.7243243243243244,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7192003179650239,72.0,C
lba53221,lauren.anderson@univ.edu,2,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100,11,0.94,0.67,0.86,0.7891891891891892,0.793638888888889,0.793638888888889,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.7545732026143791,76.0,C
vkb66346,victoria.boyd@univ.edu,2,Victoria,Boyd,58.0,80,61,80,75,80,99,100,52,70,86,90,34,50,51,70,40,60,50,60,68,100,93,100,69,100,6,0.68,0.93,0.69,0.8189189189189189,0.8021984126984127,0.8189189189189189,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.663949920508744,67.0,D
lmb95641,lauren.brock@univ.edu,2,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100,11,0.75,0.72,0.96,0.827027027027027,0.8211666666666666,0.827027027027027,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.7784284578696343,78.0,C
ksb85997,kelsey.brown@univ.edu,2,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100,9,0.8,0.69,0.83,0.822972972972973,0.8335158730158732,0.8335158730158732,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7257298786181139,73.0,C
cxc08121,charles.campbell@univ.edu,2,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100,14,0.66,0.96,1.0,0.7945945945945946,0.7968571428571428,0.7968571428571428,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.8448016806722689,85.0,B
lxc64780,lorraine.carter@univ.edu,2,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100,14,0.68,0.69,0.99,0.7405405405405405,0.7384999999999999,0.7405405405405405,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.7947750397456279,80.0,B
amc28428,adam.cooper@univ.edu,2,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100,16,0.65,0.63,0.9,0.85,0.8501587301587301,0.8501587301587301,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.8529164332399627,86.0,B
axc64717,alec.curry@univ.edu,2,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100,9,0.65,0.78,0.83,0.8756756756756757,0.8727817460317461,0.8756756756756757,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7440937996820349,75.0,C
wad63934,william.daniel@univ.edu,2,William,Daniel,48.0,80,60,80,72,80,76,100,65,70,60,90,38,50,62,70,51,60,36,60,84,100,91,100,95,100,10,0.84,0.91,0.95,0.7675675675675676,0.7700952380952379,0.7700952380952379,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7600086834733893,77.0,C
axd11293,amber.daniels@univ.edu,2,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100,16,0.68,0.95,0.88,0.8432432432432433,0.8396666666666665,0.8432432432432433,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.880650238473768,89.0,B
